id,trade_px,trade_volume,b1,b2,b3,b4,b5,a1,a2,a3,a4,a5,bq1,bq2,bq3,bq4,bq5,aq1,aq2,aq3,aq4,aq5,order_date_time,trades_date_time,update_type
1,0,0,1190.7,1190,1189.69,1189.22,1188.92,1192.29,1192.3,1193.32,1193.5,1193.61,1.99,1.2,1.2,2.23688,1.03688,0.01383556,6.64,1.03688,1.98,1.03688,2017-04-07D00:00:38.301868000,2000-01-01D00:00:00.000000000,1
3,0,0,1190.7,1190,1189.69,1189.22,1188.92,1192.3,1193.32,1193.5,1193.61,1193.91,1.99,1.2,1.2,2.23688,1.03688,6.64,1.03688,1.98,1.03688,1.03688,2017-04-07D00:00:48.770277000,2000-01-01D00:00:00.000000000,1
4,0,0,1190.7,1190,1189.69,1189.22,1188.92,1192.3,1193.32,1193.5,1193.61,1193.91,1.99,1.2,1.2,2.23688,1.03688,1.8,1.03688,1.98,1.03688,1.03688,2017-04-07D00:00:54.575567000,2000-01-01D00:00:00.000000000,1
5,0,0,1190.7,1190,1189.69,1189.22,1188.92,1192.3,1193.32,1193.5,1193.61,1193.91,1.99,1.2,1.2,2.23688,1.03688,6.05,1.03688,1.98,1.03688,1.03688,2017-04-07D00:00:57.980256000,2000-01-01D00:00:00.000000000,1
6,0,0,1190.7,1190,1189.69,1189.22,1188.92,1192.29,1192.3,1193.32,1193.5,1193.61,1.99,1.2,1.2,2.23688,1.03688,0.01429121,6.05,1.03688,1.98,1.03688,2017-04-07D00:01:04.378295000,2000-01-01D00:00:00.000000000,1
7,0,0,1190.7,1190,1189.69,1189.22,1188.92,1191.3,1192.29,1192.3,1193.32,1193.5,0.99,1.2,1.2,2.23688,1.03688,1,0.01429121,6.05,1.03688,1.98,2017-04-07D00:01:06.897093000,2000-01-01D00:00:00.000000000,1
8,1190.7,2,1190.7,1190,1189.69,1189.22,1188.92,1191.3,1192.29,1192.3,1193.32,1193.5,0.99,1.2,1.2,2.23688,1.03688,1,0.01429121,6.05,1.03688,1.98,2017-04-07D00:01:06.897093000,2017-04-07D00:01:12.563677000,2
9,1190.7,2,1190.7,1189.26,1189.22,1188.92,1188.9,1191.3,1192.29,1192.3,1193.32,1193.5,0.99,1.2,2.23688,1.03688,1.2,5.72,0.01429121,1.8,1.03688,1.98,2017-04-07D00:01:13.606592000,2017-04-07D00:01:12.563677000,1
10,1190.7,2,1189.26,1189.22,1188.92,1188.9,1188.82,1190.7,1191.3,1192.29,1192.3,1193.32,1.2,2.23688,1.03688,1.2,1.2,0.01,6.71,0.01429121,1.8,1.03688,2017-04-07D00:01:18.845970000,2017-04-07D00:01:12.563677000,1
11,1190.7,2,1189.26,1189.22,1188.92,1188.9,1188.82,1190.7,1191.3,1192.29,1192.3,1193.32,0.605,2.23688,1.03688,1.2,1.2,0.01,6.71,0.01429121,1.8,1.03688,2017-04-07D00:01:19.839065000,2017-04-07D00:01:12.563677000,1
